mes,BAA10Y,NFCI,z_baa10y_fechado,z_nfci_fechado,mudanca_regime
2004-11,1.95,-0.687,-1.2652937672408913,-0.7055118035283546,0
2004-12,1.86,-0.667,-1.4432854168487064,-0.7295327919435473,0
2005-01,1.75,-0.674,-1.51188083373614,-0.5326892422687631,0
2005-02,1.59,-0.681,-1.5986165404575656,-0.5494491050051294,0
2005-03,1.64,-0.634,-1.7425096330913021,-0.5684683975785213,0
2005-04,1.76,-0.579,-1.5463111623635792,-0.15130438126292287,0
2005-05,1.9,-0.568,-1.2698818514357917,0.3088840594445875,0
2005-06,1.87,-0.572,-0.9866821881319016,0.3868532918599959,0
2005-07,1.67,-0.582,-0.9791742132485466,0.3631033728385589,0
2005-08,1.77,-0.566,-1.2320625777435634,0.3229804478773029,0
2005-09,1.81,-0.533,-1.0167917051826982,0.5403820054273865,0
2005-10,1.83,-0.55,-0.9227499400668023,1.0051104581870953,1
2005-11,1.89,-0.546,-0.8737993507723203,0.9991442564959816,0
2005-12,1.82,-0.527,-0.7218542805492634,1.1717550834293768,0
2006-01,1.78,-0.569,-0.8500683607010873,1.5337033918713188,0
2006-02,1.65,-0.597,-0.911179863652368,1.0404901990470143,0
2006-03,1.69,-0.589,-1.222472802592253,0.713198096913801,0
2006-04,1.67,-0.579,-1.101771733391657,0.8502531527461766,0
2006-05,1.66,-0.541,-1.1182935403874465,0.9531020740353482,0
2006-06,1.67,-0.487,-1.131102319170783,1.4134186000844826,0
2006-07,1.68,-0.518,-1.0919378594043319,1.9906641728745986,0
2006-08,1.73,-0.562,-1.0237029126900967,1.4712806766461743,0
2006-09,1.72,-0.565,-0.7967009169414867,0.8547756456820476,0
2006-10,1.64,-0.587,-0.8145522030157825,0.777941318444191,0
2006-11,1.64,-0.585,-1.1160633305097745,0.4606907008396134,1
2006-12,1.64,-0.591,-1.075917649726295,0.45321256060600895,0
2007-01,1.57,-0.64,-1.0459527027801714,0.34116185790770476,0
2007-02,1.6,-0.625,-1.3298724135832223,-0.3732509138765951,0
2007-03,1.75,-0.569,-1.1339520283757236,-0.25152030755401117,0
2007-04,1.68,-0.549,-0.298283435446377,0.5854598312942975,0
2007-05,1.6,-0.511,-0.6591732616195225,0.8911016451630683,0
2007-06,1.59,-0.481,-1.075689769265465,1.4848493354106342,1
2007-07,1.85,-0.252,-1.090855830172784,1.8697306853622815,0
2007-08,2.05,0.244,0.6044691379150802,4.113224423998226,0
2007-09,2.0,0.111,2.090473317769127,5.074491933705329,1
2007-10,1.99,0.028,1.8481825375564673,3.366952719763836,0
2007-11,2.47,0.513,1.8828343574956712,2.563249549144303,0
2007-12,2.52,0.556,4.087735494672172,3.689169194606001,0
2008-01,2.96,0.443,3.4563717207101115,3.154689366753797,0
2008-02,3.22,0.813,3.947051691414844,2.4661377668451707,0
2008-03,3.45,0.969,3.6737567594116864,2.9656548228518567,0
2008-04,3.1,0.674,3.3984382017198866,2.8496633059864815,0
2008-05,3.0,0.528,2.3346742385169814,2.0038999990530395,0
2008-06,3.05,0.735,1.9511176513449724,1.5838195053247146,0
2008-07,3.22,0.737,1.8794115448903745,1.8388367963441459,0
2008-08,3.29,0.856,1.9933669769879798,1.7067028211519515,0
2008-09,4.0,1.809,1.932372946901891,1.777954400530383,0
2008-10,5.53,2.824,2.6629826113771955,2.919757913341264,0
2008-11,6.1,3.101,3.6793039836710997,3.499787755828669,0
2008-12,5.82,2.736,3.4083580806446805,3.151297186863695,0
2009-01,5.38,2.145,2.711192368342364,2.4419914250260746,0
2009-02,5.22,2.135,2.125924280123035,1.7326429783051338,0
2009-03,5.74,1.912,1.8435965539375576,1.6047757634175241,0
2009-04,5.08,1.368,2.0231386098302186,1.3205560250854278,0
2009-05,4.29,0.871,1.4684598984908477,0.7920672906991981,0
2009-06,3.64,0.719,0.8871889906556738,0.31874391145975506,1
2009-07,3.11,0.417,0.4179503180930607,0.15385413657968566,1
2009-08,2.98,0.231,0.03273714034057905,-0.14632819237615824,0
2009-09,2.86,0.104,-0.08112151123019436,-0.3430830447202364,0
2009-10,2.86,0.025,-0.18877925307475069,-0.486119198323278,0
2009-11,2.99,-0.029,-0.2159520347493811,-0.5856127455221166,0
2009-12,2.54,-0.151,-0.15253707114888435,-0.6617611568791489,0
2010-01,2.57,-0.203,-0.5053163986282577,-0.8027363578018245,0
2010-02,2.62,-0.249,-0.5130882754766373,-0.8778804194338679,0
2010-03,2.47,-0.428,-0.5065446742766717,-0.9458829296004049,0
2010-04,2.38,-0.375,-0.646081415545321,-1.1369954594647753,0
2010-05,2.89,-0.096,-0.7427486801901311,-1.0944324985706215,0
2010-06,3.08,-0.097,-0.3779241432462477,-0.8306134216457124,0
2010-07,2.91,-0.27,-0.265347037110364,-0.852860194244593,0
2010-08,3.01,-0.293,-0.4416205916623007,-1.0335673140797403,0
2010-09,3.05,-0.357,-0.38610147983637555,-1.02939716278909,0
2010-10,3.15,-0.461,-0.385013510128517,-1.0698247029291317,0
2010-11,3.03,-0.48,-0.33296072000505034,-1.1475453275761347,0
2010-12,2.68,-0.554,-0.46128864861825497,-1.1181662906522298,0
2011-01,2.68,-0.624,-0.790612910161186,-1.1388600166365668,0
2011-02,2.57,-0.601,-0.7796409121405924,-1.1553420677395987,0
2011-03,2.58,-0.576,-0.8558775217194657,-1.077696385225613,0
2011-04,2.58,-0.627,-0.8166628257523428,-1.0011354927436011,0
2011-05,2.65,-0.592,-0.7975034042627298,-1.0002738049758915,0
2011-06,2.72,-0.551,-0.7224317754098222,-0.9278595225425115,0
2011-07,2.77,-0.43,-0.64915136600664,-0.8502953398095444,0
2011-08,3.25,-0.185,-0.5910332395326542,-0.7086976878021884,0
2011-09,3.3,-0.094,-0.16624907145908654,-0.46491828249306133,0
2011-10,3.02,-0.159,-0.10531177179376307,-0.34522868035948223,0
2011-11,3.24,-0.134,-0.307394014678306,-0.3576295025841395,0
2011-12,3.27,-0.207,-0.030915014123833084,-0.2798459334475108,0
2012-01,3.24,-0.373,0.08303974358558826,-0.31349741681392324,0
2012-02,3.1,-0.455,0.13048952227304791,-0.4993547893016903,0
2012-03,3.07,-0.483,0.028464923667337827,-0.6162742627093502,0
2012-04,3.2,-0.429,0.12501686973291387,-0.6937165870279456,0
2012-05,3.4,-0.314,0.6707882406711286,-0.570387249240847,0
2012-06,3.39,-0.324,1.582857092886392,-0.17884894189450265,1
2012-07,3.27,-0.414,1.653253318855811,-0.1394179010241688,0
2012-08,3.21,-0.503,1.1951810259855902,-0.46919856542006005,0
2012-09,3.07,-0.566,0.9514566921195501,-0.8625390449818962,0
2012-10,2.73,-0.584,0.449020726449439,-1.1529074888419297,1
2012-11,2.95,-0.586,-0.7011146391573282,-1.2088081400279214,0
2012-12,2.85,-0.627,0.05308203151247031,-1.1744164903853853,0
2013-01,2.82,-0.669,-0.32584153626578455,-1.3369450404535936,0
2013-02,2.89,-0.677,-0.46557700398886137,-1.4845737788812017,0
2013-03,2.96,-0.693,-0.2466408081950562,-1.4354500708605076,0
2013-04,2.83,-0.734,-0.042634650952985104,-1.438299742483371,0
2013-05,2.79,-0.716,-0.6359537529559225,-1.5517195855725816,0
2013-06,2.83,-0.657,-0.7846089593619874,-1.3953135088494837,0
2013-07,2.68,-0.687,-0.5900065679145138,-1.0370867638541654,0
2013-08,2.56,-0.688,-1.1566349827361022,-1.140217082295703,0
2013-09,2.75,-0.7,-1.5338545961139465,-1.083790176387351,0
2013-10,2.65,-0.75,-0.7587226572897277,-1.0879775311997841,0
2013-11,2.61,-0.79,-1.0818330613348437,-1.2896917902220804,0
2013-12,2.33,-0.798,-1.168483401405396,-1.4169174922833054,0
2014-01,2.4,-0.782,-2.066982861639435,-1.383366942659487,0
2014-02,2.35,-0.795,-1.7274210546493878,-1.2536189829109736,0
2014-03,2.26,-0.793,-1.8196141147291374,-1.2633581195467336,0
2014-04,2.16,-0.785,-1.9960059632977736,-1.198493513443488,0
2014-05,2.22,-0.804,-2.147171693515882,-1.120427087895506,0
2014-06,2.18,-0.797,-1.8450962859460776,-1.1595273267231687,0
2014-07,2.17,-0.754,-1.8250160153510369,-1.0766081172834938,0
2014-08,2.23,-0.736,-1.7270558011188974,-0.8354770562456013,0
2014-09,2.29,-0.685,-1.4741928306832026,-0.711963559592694,0
2014-10,2.39,-0.655,-1.2493896932149249,-0.4283287498322127,0
2014-11,2.52,-0.66,-0.9408915986872521,-0.22142833899401665,0
2014-12,2.51,-0.582,-0.5688729052858965,-0.18895465784733753,0
2015-01,2.61,-0.514,-0.5532322917675486,0.4058197826264455,0
2015-02,2.46,-0.533,-0.24808817107485967,0.945412116448235,0
2015-03,2.55,-0.546,-0.6166716355403061,0.8380978477678429,0
2015-04,2.6,-0.553,-0.3330320115444614,0.7648920141054437,0
2015-05,2.72,-0.554,-0.15081562705113363,0.7627445969075819,0
2015-06,2.83,-0.547,0.27169517693134976,0.8918117002816974,0
2015-07,2.94,-0.506,0.7208835420449714,1.1313690827526302,1
2015-08,3.15,-0.424,1.1905043689091697,1.6359885855824812,1
2015-09,3.29,-0.411,1.9754124334886196,2.339751413675746,0
2015-10,3.19,-0.472,2.3532167051907735,2.2649131741999873,0
2015-11,3.2,-0.447,1.8631504565690828,1.627280060818644,0
2015-12,3.23,-0.363,1.8114198961871262,1.740460566425147,0
2016-01,3.48,-0.305,1.795309216663688,2.210628418433662,0
2016-02,3.55,-0.326,2.3093115947358895,2.364026925975868,0
2016-03,3.12,-0.38,2.2746634036232183,2.014920013424056,0
2016-04,2.86,-0.393,1.1266185560319615,1.5419410656351293,0
2016-05,2.84,-0.381,0.4519556783659687,1.3686202993547991,1
2016-06,2.92,-0.357,0.3962287705158279,1.3572017768336415,0
2016-07,2.71,-0.367,0.5942326341843759,1.4142197486976629,0
2016-08,2.61,-0.36,0.05213651754535543,1.2747744220273882,0
2016-09,2.69,-0.346,-0.20875399469404546,1.2406774867792376,0
2016-10,2.61,-0.387,0.0014303046903323517,1.24604633026962,0
2016-11,2.45,-0.436,-0.20158305617442612,0.9557006515969726,0
2016-12,2.28,-0.473,-0.5990652660151484,0.6299226863879771,0
2017-01,2.23,-0.492,-1.0272982267567479,0.36983103047208005,1
2017-02,2.19,-0.493,-1.129881278157626,0.21181807675497885,0
2017-03,2.24,-0.486,-1.2054523010196647,0.15938384055049012,0
2017-04,2.28,-0.513,-1.077745354835597,0.15709689039377056,0
2017-05,2.23,-0.55,-0.9961064399264795,-0.08787582251350079,0
2017-06,2.09,-0.571,-1.1234570551430871,-0.44452205018010044,0
2017-07,2.06,-0.579,-1.456752491451444,-0.7200499885728863,0
2017-08,2.14,-0.562,-1.5076265644582314,-0.8940107625130445,0
2017-09,2.0,-0.572,-1.2942173401903043,-0.8444560332432954,0
2017-10,1.91,-0.598,-1.577220654477847,-1.029003238455053,0
2017-11,1.88,-0.605,-1.6948304683601008,-1.3597150285191268,0
2017-12,1.77,-0.616,-1.654277915536096,-1.4981731137708525,0
2018-01,1.56,-0.606,-1.766620961883716,-1.5867361925714294,0
2018-02,1.68,-0.545,-2.015327642939287,-1.4091477165080497,0
2018-03,1.85,-0.498,-1.6644906531647168,-0.7461053090732124,0
2018-04,1.79,-0.54,-1.273761898376602,-0.25699833720487586,0
2018-05,1.89,-0.567,-1.309144243006291,-0.7181943762590218,0
2018-06,1.99,-0.543,-1.070855622482165,-1.0039079207150885,0
2018-07,1.83,-0.566,-0.8471985796037715,-0.7459694603705367,0
2018-08,1.92,-0.601,-1.0681648387366471,-0.9653812377291171,0
2018-09,1.84,-0.596,-0.8608820950910042,-1.262675847401825,0
2018-10,2.03,-0.556,-0.9543031806097928,-1.142850103326947,0
2018-11,2.27,-0.466,-0.5662593651816297,-0.6986198907007501,0
2018-12,2.45,-0.433,-0.07051869464055376,0.23492957832908673,0
2019-01,2.38,-0.513,0.33939473838067574,0.6077944085538829,0
2019-02,2.22,-0.586,0.28456044910806066,-0.18472516709886194,0
2019-03,2.26,-0.61,0.007968452002711556,-0.9600097788967413,0
2019-04,2.14,-0.618,0.1907220625793778,-1.1780137202602712,0
2019-05,2.37,-0.583,-0.09959172780998571,-1.2069888528286614,0
2019-06,2.31,-0.579,0.6694944287321472,-0.7477963293328033,0
2019-07,2.13,-0.581,0.5821678706539779,-0.6601244022657969,0
2019-08,2.26,-0.53,0.011325611615037798,-0.6482161832305975,0
2019-09,2.2,-0.514,0.5535469305437474,0.132985197152931,0
2019-10,2.18,-0.554,0.40316010297464144,0.5133339263083712,0
2019-11,2.08,-0.574,0.39561556503124345,-0.11666868020818169,0
